ID,Titre,Catégorie,Précisions,,,
422,Le monde médiéval,128, 6=Thames & Hudson, 12=Broché, 13=Français,
423,Carnet d'études ENSBA n°6 - Dessins de James Pradier ,126, 6=ENSBA, 12=Broché, 13=Français,
425,Corrège,177, 6=Gallimard, 12=Relié, 13=Français,
426,Jane Poupelet : 1874-1932,118, 6=Gallimard, 12=Relié, 13=Français,
6212,Catalogue d'exposition Visions Huichol - Un art amérindien du Mexique,216, 12=Ouvrage relié, 13=Français,,
430,Les Ecuries des châteaux français,134, 6=Editions du  Patrimoine, 12=Broché, 13=Français,
431,Louis-Pierre et Victor Baltard,134, 6=Editions du Patrimoine, 12=Relié, 13=Français,
433,Catalogue d'exposition Autour de Lorenzo Veneziano,128, 6=SilvanaEditoriale / Musée des Beaux, 13=Français,,
434,Carnet d\'études ENSBA n°3 - Quand Moreau signait Chasseriau,126, 6=ENSBA, 12=Broché, 13=Français,
435,Chefs-d'oeuvre de l'art moderne du Museum of Modern Art New York,146, 6=Skira, 12=Relié, 13=Français,
1411,Leleu : Décorateurs ensembliers,135, 12=Relié, 13=Français,,
537,Sand Delacroix. Correspondance. Le rendez-vous manqué,173, 6=Editions de l'Amateur, 12=Broché, 13=Français,
538,Le style rustique : Le moulage d'après nature chez Wenzel Jamnitzer et Bernard Palissy suivi de Georg Hoefnagel et le naturali,137, 6=Macula, 12=Broché, 13=Français,
543,L'art carolingien,128, 6=Flammarion, 12=Broché, 13=Français,
545,Le Paris des Lumières. D'après le plan de Turgot (1734-1739),134, 6=RMN, 12=Relié, 13=Français,
548,Trésors de France,134, 6=Molière, 12=Relié, 13=Français,
6223,Léonard de Vinci - Une carrière de peintre,264, 12=Ouvrage  broché, 13=Français,,
551,Curieux du Grand Siècle : Collections et collectionneurs dans la France du XVIIe siècle,137, 6=Flammarion, 12=Poche, 13=Français,
552,Figures du Musée de l'Oeuvre Notre-Dame,146, 6=Musées de Strasbourg, 12=Broché, 13=Français,
553,Bosch. Le Jardin des délices,123, 6=Gallimard, 12=Relié, 13=Français,
557,Quand le Louvre raconte Paris,146, 6=Paris Musées  Editions, 12=Broché, 13=Français,
558,1001 Peintures au Louvre,146, 6=Editions 5 Continents, 12=Relié, 13=Français,
559,Loth et ses filles - de Simon Vouet (Eclairages sur un chef d'oeuvre),137, 6=Musées de Strasbourg, 12=Broché, 13=Français,
563,Une leçon d'abîme neuf approches de Picasso,129, 6=Gallimard, 12=Broché, 13=Français,
1677,L'échelle de l'art,143, 12=Ouvrage  broché, 13=Français,,
1618,La main négative,198, 12=Broché, 13=Français,,
3019,Volutes d'époque le mobilier du château de Grignan,135, 12=Ouvrage relié, 13=Français,,
568,Chefs-d'oeuvre de la Collection Phillips,146, 6=Gallimard, 12=Broché, 13=Français,
576,Lubin Baugin,177, 6=De  Nobele, 12=Relié, 13=Français,
580,L'Aleijadinho : Le lépreux constructeur de cathédrales,166, 6=Chandeigne, 12=Broché, 13=Français,
582,La circulation des oeuvres d'art 1789-1848 (The circulation of works of Art in the Revolutionary era),124, 6=PUR, 12=Broché, 13=Français/Anglais,
5553,Catalogue d'exposition Véhicules Art Brut,216, 12=Ouvrage broché, 13=Français, 28=Oui,
588,L'invention de l'art roman à l'époque moderne (XVIIIe-XIXe siècles),124, 6=Presses Universitaires de  Rennes, 12=Broché, 13=Français,
592,La grande galerie des sculptures,129, 6=Co, 12=Relié, 13=Français,
594,Entre le voir et le dire. La critique d'art des écrivains dans la presse symboliste en France de 1882 à 1906,137, 6=Presses Universitaires de Rennes, 12=Broché, 13=Français,
595,L'élite artiste. Excellence et singularité en régime démocratique,137, 6=Gallimard, 12=Broché, 13=Français,
596,Peintures murales aux Invalides. L'oeuvre révélé de Joseph Parrocel,135, 6=Editions Faton, 12=Relié, 13=Français,
598,Collections et marché de l'Art en France 1789-1848,160, 6=Presses Universitaires de Rennes/Institut National  d'Histoire de l'Art, 12=Broché, 13=Français,
601,Antoine-Jean Gros. Peintre de Napoléon,173, 6=Gallimard, 12=Relié, 13=Français,
604,L'art en Champagne à la fin du Moyen Age. Productions locales et modèles étrangers (v.1485-v.1535),124, 6=Presses  Universitaires de Rennes, 12=Broché, 13=Français,
607,Etudes transversales. Mélanges en l'honneur de Pierre Vaisse,137, 6=Presses Universitaires de  Lyon, 12=Broché, 13=Français,
608,Les curieux philosophes de Velázquez et de Ribera,137, 6=Fage Editions, 12=Broché, 13=Français,
610,Le musée de l'Ecole de Nancy dévoile ses réserves. Oeuvres méconnues ou inédites,146, 6=Fage, 12=Broché, 13=Français,
611,Salon du Dessin. L'artiste Collectionneur de Dessin T.1. De Giorgio Vasari à aujourd'hui,137, 6=5 Continents, 12=Broché, 13=Français,
612,Aquarelle. L'aventure avec les fleurs,122, 6=Ulisse, 12=Broché, 13=Français,
615,A l'aube de l'architecture gothique,134, 6=Presses Universitaires de Franche, 12=Broché, 13=Français,
618,La révolution par l'écriture. Les tableaux de la Révolution française une entreprise éditoriale d'information (1791-1817),121, 6=RMN, 12=Broché, 13=Français,
620,Louis-Nicolas van Blarenberghe à Versailles. Les gouaches commandées par Louis XVI,165, 6=RMN, 12=Broché, 13=Français,
1398,Fragonard - Regards croisés,154, 12=Ouvrage  broché, 13=Français,,
625,Les Métamorphoses d'Ovide illustrées par la peinture baroque,145, 6=Diane de Selliers, 12=Relié, 13=Français,
626,Puvis de Chavanne. Une voix singulière au temps de l'Impressionnisme,125, 6=Musée de Picardie, 13=Français,,
629,Bonnard,197, 6=Hazan, 12=Broché, 13=Français,
3045,L'art de la peinture,160, 12=Ouvrage broché, 13=Français,,
3044,reGénérations² photographes de demain,216, 12=Ouvrage broché, 13=Français,,
643,Cahiers du Dessin Français n°5. Théodore Chassériau (1819-1856),126, 6=Galerie de Bayser, 12=Broché, 13=Français,
5430,Catalogue d'exposition Anders Petersen - BnF Paris,216, 12=Ouvrage  relié, 13=Français, 28=Oui,
645,La stratégie de Bonnard. Couleur lumière regard.,197, 6=Gallimard, 12=Broché, 13=Français,
